id,name
1,Action
2,Arcade & Rhythm
3,Fighting & Martial Arts
4,First-Person Shooter
5,Hack & Slash
6,Platformer & Runner
7,Third-Person Shooter
8,Adventure
9,Adventure RPG
10,Casual
11,Hidden Object
12,Puzzle
13,Story-Rich
14,Visual Novel
15,Role-Playing
16,Action RPG
17,JRPG
18,Party-Based
19,Rogue-Like
20,Strategy RPG
21,Turn-Based
22,Simulation
23,Building & Automation
24,Dating
25,Farming & Crafting
26,Hobby & Job
27,Life & Immersive
28,Sandbox & Physics
29,Space & Flight
30,Strategy
31,Card & Board
32,City & Settlement
33,Grand & 4X
34,Military
35,Real-Time Strategy
36,Tower Defense
37,Turn-Based Strategy
38,Sports & Racing
39,All Sports
40,Fishing & Hunting
41,Individual Sports
42,Racing
43,Racing Sim
44,Sports Sim
45,Team Sports
46,Horror
47,Mystery & Detective
48,Open World
49,Science Fiction
50,Space
51,Survival
